Generation,Best_Total_Distance
0,114.9079500413714
1,114.9079500413714
2,114.9079500413714
3,114.9079500413714
4,114.9079500413714
5,114.9079500413714
6,114.9079500413714
7,114.9079500413714
8,114.9079500413714
9,114.9079500413714
10,114.9079500413714
11,114.9079500413714
12,114.9079500413714
13,114.9079500413714
14,114.9079500413714
15,114.9079500413714
16,114.9079500413714
17,114.9079500413714
18,114.9079500413714
19,114.9079500413714
20,114.9079500413714
21,114.9079500413714
22,114.9079500413714
23,114.9079500413714
24,114.9079500413714
25,114.9079500413714
26,114.9079500413714
27,114.9079500413714
28,114.9079500413714
29,114.9079500413714
30,114.9079500413714
31,114.9079500413714
32,114.9079500413714
33,114.9079500413714
34,114.9079500413714
35,114.9079500413714
36,114.9079500413714
37,114.9079500413714
38,114.9079500413714
39,114.9079500413714
40,114.9079500413714
41,114.9079500413714
42,114.9079500413714
43,114.9079500413714
44,114.9079500413714
45,114.9079500413714
46,114.9079500413714
47,114.9079500413714
48,114.9079500413714
49,114.9079500413714
50,114.9079500413714
51,114.9079500413714
52,114.9079500413714
53,114.9079500413714
54,114.9079500413714
55,112.29260623069644
56,112.29260623069644
57,112.29260623069644
58,112.29260623069644
59,112.29260623069644
60,112.29260623069644
61,112.29260623069644
62,112.29260623069644
63,112.29260623069644
64,112.29260623069644
65,112.29260623069644
66,112.29260623069644
67,112.29260623069644
68,112.29260623069644
69,112.29260623069644
70,112.29260623069644
71,112.29260623069644
72,112.29260623069644
73,112.29260623069644
74,112.29260623069644
75,112.24827070617052
76,112.24827070617052
77,112.24827070617052
78,110.41352264283327
79,110.41352264283327
80,109.44120888350865
81,109.44120888350865
82,108.50630524079347
83,108.50630524079347
84,108.50630524079347
85,108.50630524079347
86,108.50630524079347
87,108.17946416215432
88,108.17946416215432
89,108.17946416215432
90,106.32602869325854
91,106.32602869325854
92,106.32602869325854
93,106.32602869325854
94,106.32602869325854
95,106.32602869325854
96,106.32602869325854
97,106.32602869325854
98,106.32602869325854
99,106.32602869325854
