Device_ID,Assigned_Task_Python_Index
0,0
1,11
2,2
2,2
3,12
4,8
5,7
6,6
7,11
7,11
8,13
9,1
9,1
10,3
11,14
12,5
12,3
13,9
14,3
14,10
14,4
