Device_ID,Assigned_Task_Python_Index
0,11.0
0,6.0
1,14.0
1,7.0
2,12.0
2,1.0
3,13.0
4,3.0
4,10.0
5,
6,
7,2.0
8,4.0
9,5.0
10,0.0
11,9.0
11,8.0
12,
13,
14,
